system:index,date,temperature_2m,.geo
20250112_44_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_45_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_46_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_47_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_48_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_49_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_50_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_51_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_52_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_53_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_54_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_55_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_56_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_57_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_58_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250112_59_0,2025-01-12,285.6320215861003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_0_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_1_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_2_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_3_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_4_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_5_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_6_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_7_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_8_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_9_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_10_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_11_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_12_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_13_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_14_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_15_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_16_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_17_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_18_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_19_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250113_20_0,2025-01-13,284.9824968973796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
