ndvi_t1,ndwi_t1,vv,vh,crop_confidence,crop_label
0.7946006,0.7337994,-11.579563086381864,-18.742871841959477,89,Wintercereal_Wheat_or_Mustard
0.82341856,0.7581106,-13.559179882287644,-19.620139851212578,88,Wintercereal_Wheat_or_Mustard
0.82152516,0.7651992,-13.21828236795975,-20.18044304038492,89,Wintercereal_Wheat_or_Mustard
0.8220565,0.76061773,-12.729323456268183,-20.238972173071453,94,Wintercereal_Wheat_or_Mustard
0.82284003,0.75353956,-11.536497747971064,-19.959798160973435,94,Wintercereal_Wheat_or_Mustard
0.819143,0.7374435,-12.477208235799637,-19.14299364232872,93,Wintercereal_Wheat_or_Mustard
0.81221974,0.7442676,-12.48879950536596,-18.951451119345677,93,Wintercereal_Wheat_or_Mustard
0.8093915,0.7425743,-11.803934155206264,-19.036775038589443,89,Wintercereal_Wheat_or_Mustard
0.813006,0.75126135,-11.829316401352028,-18.659465265321494,40,Wintercereal_Wheat_or_Mustard
0.80094314,0.73174226,-12.955436681307216,-18.307974507719297,40,Wintercereal_Wheat_or_Mustard
0.827476,0.7408696,-12.337215521755338,-19.847764146607418,3,Non_wintercereal
0.16990596,0.25403225,-11.002927065152504,-18.96257086179121,94,Wintercereal_Wheat_or_Mustard
0.18338658,0.2505064,-11.06149733082483,-19.826562244369388,97,Wintercereal_Wheat_or_Mustard
0.20274058,0.2683087,-9.48804606752677,-19.472681634158867,93,Wintercereal_Wheat_or_Mustard
0.21265592,0.2682151,-9.781174624872492,-17.35124490494648,93,Wintercereal_Wheat_or_Mustard
0.24833837,0.30676788,-9.559907896659954,-16.719476045591655,95,Wintercereal_Wheat_or_Mustard
0.28728136,0.34136546,-9.5561257015241,-17.060257776792362,96,Wintercereal_Wheat_or_Mustard
0.35666052,0.38557994,-10.375479845137267,-17.44708548938308,93,Wintercereal_Wheat_or_Mustard
0.81793904,0.6960133,-10.50780168471817,-16.984848019365792,99,Wintercereal_Wheat_or_Mustard
0.83988875,0.7459001,-11.02977410733022,-17.632820568172477,65,Wintercereal_Wheat_or_Mustard
0.8310627,0.7307422,-13.254698821053774,-19.41655246849525,42,Wintercereal_Wheat_or_Mustard
0.8140229,0.7264553,-13.262844091431411,-20.41528508229447,41,Wintercereal_Wheat_or_Mustard
0.8140229,0.7264553,-12.966641095236984,-19.845472696592932,41,Wintercereal_Wheat_or_Mustard
0.7989447,0.74092984,-13.30102036997688,-18.859598571544936,86,Wintercereal_Wheat_or_Mustard
0.76519567,0.7133621,-12.986209720474314,-19.103825322878592,83,Wintercereal_Wheat_or_Mustard
0.8104449,0.74348056,-12.828159309561965,-19.87123068034682,93,Wintercereal_Wheat_or_Mustard
0.8105727,0.75828874,-12.126514041393705,-19.856306922049964,94,Wintercereal_Wheat_or_Mustard
0.8159091,0.72896945,-12.680708068545265,-18.89191979681262,90,Wintercereal_Wheat_or_Mustard
0.8130631,0.7297878,-11.91074123940686,-19.856675938117977,86,Wintercereal_Wheat_or_Mustard
0.8208635,0.74684846,-11.687406680159864,-19.06298559168369,55,Wintercereal_Wheat_or_Mustard
0.80459154,0.73957795,-12.169597462642912,-17.987186097618732,55,Wintercereal_Wheat_or_Mustard
0.7992993,0.73211277,-12.975058762469304,-19.32146286684949,2,Wintercereal_Wheat_or_Mustard
0.69275755,0.68706566,-12.312344794130324,-21.272881744442667,58,Non_wintercereal
0.19280843,0.2624672,-10.877192278584136,-18.653077428640437,95,Wintercereal_Wheat_or_Mustard
0.2169755,0.2693267,-10.074519024021845,-18.98101201937777,95,Wintercereal_Wheat_or_Mustard
0.25525525,0.29491946,-9.56957342221944,-17.349054585592732,97,Wintercereal_Wheat_or_Mustard
0.24900459,0.2958373,-10.037915767014402,-17.653864113911823,96,Wintercereal_Wheat_or_Mustard
0.23399015,0.28297055,-10.885956248553336,-17.653864113911823,96,Wintercereal_Wheat_or_Mustard
0.25547445,0.29974812,-10.578633571299765,-17.197089225755033,96,Wintercereal_Wheat_or_Mustard
0.27240142,0.3238036,-10.26113903433979,-17.750945711621632,88,Wintercereal_Wheat_or_Mustard
0.77206206,0.66952163,-10.08368830951772,-16.38969251794624,96,Wintercereal_Wheat_or_Mustard
0.7783933,0.68503934,-11.240037330987285,-17.406442922955435,89,Wintercereal_Wheat_or_Mustard
0.77705204,0.68671215,-11.461645299553654,-18.17529426155619,66,Wintercereal_Wheat_or_Mustard
0.7970017,0.7108095,-12.283889346635751,-18.677665937498787,87,Wintercereal_Wheat_or_Mustard
0.7030335,0.6469377,-12.741574447956133,-18.174909259540957,64,Wintercereal_Wheat_or_Mustard
0.7923815,0.71699166,-12.133112592859728,-19.480723284260375,89,Wintercereal_Wheat_or_Mustard
0.7505042,0.69012517,-12.637561197087264,-19.29574066592434,93,Wintercereal_Wheat_or_Mustard
0.81718063,0.7368421,-12.15913563068713,-19.458914784883483,83,Wintercereal_Wheat_or_Mustard
0.81748,0.74437684,-11.896888609338042,-19.03394085302764,84,Wintercereal_Wheat_or_Mustard
0.21173021,0.26748466,-10.329594102194974,-18.346479180214462,97,Wintercereal_Wheat_or_Mustard
0.21822962,0.27250534,-10.246721345847224,-18.860266780029157,95,Wintercereal_Wheat_or_Mustard
0.2753711,0.30300218,-9.845135698917352,-17.013280228306225,97,Wintercereal_Wheat_or_Mustard
0.2639405,0.3001912,-9.384640586396143,-18.07183904090877,97,Wintercereal_Wheat_or_Mustard
0.27900058,0.32962275,-10.393555109889272,-19.16650247577418,97,Wintercereal_Wheat_or_Mustard
0.333814,0.35630497,-9.72649724780977,-16.8509425567391,89,Wintercereal_Wheat_or_Mustard
0.42188907,0.44793892,-9.63468806796974,-16.80091701663609,89,Wintercereal_Wheat_or_Mustard
0.4924305,0.4924305,-10.067537578207958,-16.46909995692962,89,Wintercereal_Wheat_or_Mustard
0.4924305,0.4924305,-9.591852233676686,-17.33048527478762,94,Wintercereal_Wheat_or_Mustard
0.5034559,0.5202684,-10.195741210193647,-17.61424145866522,96,Wintercereal_Wheat_or_Mustard
0.4541362,0.48037812,-9.977847661873565,-17.5451114366416,84,Wintercereal_Wheat_or_Mustard
0.46220246,0.48749334,-11.084757518156296,-18.19846828504193,76,Wintercereal_Wheat_or_Mustard
0.46701846,0.49061662,-10.321376690328648,-19.34811763416817,84,Wintercereal_Wheat_or_Mustard
0.5127509,0.52641666,-10.291475053415803,-18.785147987421176,82,Wintercereal_Wheat_or_Mustard
0.5263299,0.5382543,-11.404759893676577,-18.027998737384287,78,Wintercereal_Wheat_or_Mustard
0.7773923,0.71875876,-11.953013152039256,-18.14537246432992,74,Wintercereal_Wheat_or_Mustard
0.81390196,0.7387842,-11.981635997074385,-18.97324016156354,89,Wintercereal_Wheat_or_Mustard
0.8156455,0.7491436,-12.15115143939872,-20.18930498467449,86,Wintercereal_Wheat_or_Mustard
0.8082887,0.7246572,-12.2134516484941,-19.65732874981221,83,Wintercereal_Wheat_or_Mustard
0.8082887,0.7246572,-12.2134516484941,-19.65732874981221,83,Wintercereal_Wheat_or_Mustard
0.8072357,0.7389176,-12.318605081466227,-18.909558959584693,91,Wintercereal_Wheat_or_Mustard
0.80941707,0.73175967,-12.590137911685911,-19.68170852079955,92,Wintercereal_Wheat_or_Mustard
0.81127864,0.73754686,-12.354237604912372,-19.606856231704544,81,Wintercereal_Wheat_or_Mustard
0.803005,0.7326203,-11.332842133684188,-19.166669397566523,81,Wintercereal_Wheat_or_Mustard
0.21982507,0.2709599,-10.583323773089171,-17.569997168854616,97,Wintercereal_Wheat_or_Mustard
0.29509166,0.33373934,-9.610637993784463,-17.491524822562667,97,Wintercereal_Wheat_or_Mustard
0.26318926,0.33480316,-9.412200568566876,-18.7343267521613,93,Wintercereal_Wheat_or_Mustard
0.24621563,0.285942,-9.72156835107862,-17.35678892118121,79,Wintercereal_Wheat_or_Mustard
0.2392638,0.30238557,-9.01007337062296,-17.837907518168905,84,Wintercereal_Wheat_or_Mustard
0.20987654,0.29738456,-9.910430991533266,-17.607389096703542,91,Wintercereal_Wheat_or_Mustard
0.22622563,0.30648208,-10.057611336590352,-17.899383873449935,77,Wintercereal_Wheat_or_Mustard
0.23040935,0.31253898,-10.057611336590352,-18.25806855588135,85,Wintercereal_Wheat_or_Mustard
0.4085779,0.4511628,-10.85974955898636,-17.918500754969102,69,Wintercereal_Wheat_or_Mustard
0.79426646,0.72633857,-11.696204952569968,-19.01528630909842,94,Wintercereal_Wheat_or_Mustard
0.8189655,0.7429014,-11.792457229140576,-18.12797798854462,96,Wintercereal_Wheat_or_Mustard
0.82787067,0.74166137,-11.34776961918483,-18.4191750325398,15,Wintercereal_Wheat_or_Mustard
0.21868613,0.29026276,-9.794447670209388,-18.0424713091182,72,Wintercereal_Wheat_or_Mustard
0.25126678,0.29288575,-10.54491010629523,-17.32085205172589,95,Wintercereal_Wheat_or_Mustard
0.29032257,0.337386,-9.249359669887308,-18.077075999338792,90,Wintercereal_Wheat_or_Mustard
0.28952655,0.35729387,-9.516826368267866,-17.775672448373136,93,Wintercereal_Wheat_or_Mustard
0.25998172,0.309471,-8.306602639789112,-17.924170811396962,91,Wintercereal_Wheat_or_Mustard
0.24976787,0.2938161,-8.517784502698,-17.807554636481516,96,Wintercereal_Wheat_or_Mustard
0.25490198,0.3103007,-8.684434351371324,-17.62330743132815,95,Wintercereal_Wheat_or_Mustard
0.2541755,0.30903327,-8.304530484890332,-18.050998026355387,93,Wintercereal_Wheat_or_Mustard
0.2541755,0.30903327,-8.901724598768547,-17.668047568957792,93,Wintercereal_Wheat_or_Mustard
0.22693267,0.27626458,-9.343149559096688,-17.52519556878975,73,Wintercereal_Wheat_or_Mustard
0.2590799,0.29595014,-9.343149559096688,-17.406069858309312,75,Wintercereal_Wheat_or_Mustard
0.24938574,0.30384615,-8.592821292474149,-17.529663507318862,70,Wintercereal_Wheat_or_Mustard
0.21484141,0.30546623,-9.823805062806793,-18.001958116240978,82,Wintercereal_Wheat_or_Mustard
0.22753793,0.3199498,-9.873124616932182,-17.990362799512326,92,Wintercereal_Wheat_or_Mustard
0.22330096,0.31043178,-10.3219760265298,-18.277666387304315,92,Wintercereal_Wheat_or_Mustard
0.2548558,0.3250466,-8.937985585792529,-17.677439916883444,92,Wintercereal_Wheat_or_Mustard
0.26198372,0.34037784,-10.311927873903526,-19.51595591197411,79,Wintercereal_Wheat_or_Mustard
0.5967213,0.566756,-10.918768550153608,-19.24594343564426,77,Wintercereal_Wheat_or_Mustard
0.76521486,0.6873449,-12.017478628778573,-19.83023405455129,77,Wintercereal_Wheat_or_Mustard
0.8137673,0.73021126,-12.306809216106982,-18.704639646355183,77,Wintercereal_Wheat_or_Mustard
0.78318197,0.7038074,-12.716412251606094,-18.820885386390007,75,Wintercereal_Wheat_or_Mustard
0.80040616,0.7157866,-11.772691067589498,-20.00664776451069,90,Wintercereal_Wheat_or_Mustard
0.8258273,0.7458958,-10.995360692623786,-19.39990334954277,57,Wintercereal_Wheat_or_Mustard
0.831094,0.72943574,-11.755208740645958,-18.878647614054053,47,Wintercereal_Wheat_or_Mustard
0.30100533,0.335762,-9.526259145598043,-18.03500053532295,93,Wintercereal_Wheat_or_Mustard
0.26454708,0.30364874,-8.770184493313339,-19.175098604798077,80,Wintercereal_Wheat_or_Mustard
0.2796842,0.29621655,-8.978809955363502,-18.745419532278703,93,Wintercereal_Wheat_or_Mustard
0.21700507,0.28984532,-9.736526856743046,-18.792293970345774,87,Wintercereal_Wheat_or_Mustard
0.23691946,0.32660782,-8.68223457344133,-18.86464004799228,82,Wintercereal_Wheat_or_Mustard
0.23691946,0.32660782,-8.87476487708147,-18.36613668865952,92,Wintercereal_Wheat_or_Mustard
0.47039106,0.49673018,-11.216247039296796,-20.304705649331737,72,Wintercereal_Wheat_or_Mustard
0.717527,0.6474429,-12.489121775643374,-20.754259047385013,72,Wintercereal_Wheat_or_Mustard
0.79754275,0.73185796,-11.642619751291416,-18.72749359225685,82,Wintercereal_Wheat_or_Mustard
0.8257445,0.73927313,-12.078330252232272,-18.860557364582537,50,Wintercereal_Wheat_or_Mustard
0.80717254,0.72513026,-12.371422750015812,-18.737964232920305,45,Wintercereal_Wheat_or_Mustard
0.27779424,0.33975753,-9.307285117267792,-19.92983373863829,14,Non_wintercereal
0.2280285,0.2828784,-9.221410398622568,-19.38974311581262,14,Wintercereal_Wheat_or_Mustard
0.24410377,0.29447854,-10.104322810161296,-19.38974311581262,85,Wintercereal_Wheat_or_Mustard
0.29216152,0.31958762,-9.915177984957031,-16.790857897685108,91,Wintercereal_Wheat_or_Mustard
0.2819891,0.3187773,-9.738456774379593,-16.720258297306778,91,Wintercereal_Wheat_or_Mustard
0.2819891,0.3187773,-9.677143689249844,-17.570636562481756,91,Wintercereal_Wheat_or_Mustard
0.27914765,0.30537435,-10.157006151370409,-18.79984780420463,86,Wintercereal_Wheat_or_Mustard
0.2600243,0.28341585,-9.821732812280246,-17.278560367027026,91,Wintercereal_Wheat_or_Mustard
0.2362739,0.2691577,-8.572236906285859,-16.47124238317912,95,Wintercereal_Wheat_or_Mustard
0.2317798,0.27484623,-8.57791116873187,-17.03981216457796,96,Wintercereal_Wheat_or_Mustard
0.22173642,0.2868421,-8.690102609135574,-17.89252646680726,88,Wintercereal_Wheat_or_Mustard
0.21469285,0.2976996,-8.941216880702385,-16.83134997149717,90,Wintercereal_Wheat_or_Mustard
0.22407246,0.3138915,-10.060279914729724,-17.192232142180416,96,Wintercereal_Wheat_or_Mustard
0.2425829,0.32670808,-9.81164817343807,-17.193855936397625,96,Wintercereal_Wheat_or_Mustard
0.27719298,0.35315984,-10.403077594218155,-17.70863847353499,95,Wintercereal_Wheat_or_Mustard
0.6584066,0.60164696,-12.04637259264215,-19.503215043378614,89,Wintercereal_Wheat_or_Mustard
0.7914641,0.7176897,-12.619978392724882,-19.65903876108901,72,Wintercereal_Wheat_or_Mustard
0.7914641,0.7176897,-12.493229874922635,-18.56803441049064,65,Wintercereal_Wheat_or_Mustard
0.8202838,0.72811174,-11.415137151548072,-19.4910056936791,90,Wintercereal_Wheat_or_Mustard
0.823634,0.7229292,-11.437641157487407,-18.53627605286247,72,Wintercereal_Wheat_or_Mustard
0.8232464,0.73535794,-13.37022333076712,-18.766053827302457,52,Wintercereal_Wheat_or_Mustard
0.8189655,0.73410684,-13.905628772739949,-19.06093928292023,48,Wintercereal_Wheat_or_Mustard
0.8189655,0.73410684,-13.38992782883356,-19.34969025825866,46,Wintercereal_Wheat_or_Mustard
0.83865464,0.753603,-13.8313946241882,-19.464167518872884,44,Wintercereal_Wheat_or_Mustard
0.31991953,0.38008416,-9.690978038753745,-18.229098659580178,87,Non_wintercereal
0.31991953,0.38008416,-9.568430117834431,-18.585592290289394,24,Non_wintercereal
0.28430805,0.3297362,-9.777111219600362,-18.397480180094867,82,Wintercereal_Wheat_or_Mustard
0.29156908,0.32254195,-9.006151569523293,-17.740645004141907,88,Wintercereal_Wheat_or_Mustard
0.27674836,0.30642202,-9.070819288993215,-17.713900869955317,88,Wintercereal_Wheat_or_Mustard
0.2617866,0.2980217,-9.531852780185488,-17.713900869955317,69,Wintercereal_Wheat_or_Mustard
0.26459026,0.302398,-10.088253144288563,-16.818000606315906,86,Wintercereal_Wheat_or_Mustard
0.25326696,0.2811705,-10.882532037125614,-16.192378138926028,97,Wintercereal_Wheat_or_Mustard
0.24159402,0.2741214,-9.967457630235158,-17.503047472152033,98,Wintercereal_Wheat_or_Mustard
0.23581336,0.28104576,-10.426867383996122,-18.664559705684376,98,Wintercereal_Wheat_or_Mustard
0.22376494,0.29484114,-9.18001764922356,-17.866417050625113,96,Wintercereal_Wheat_or_Mustard
0.2263849,0.31569907,-9.009822454726446,-17.28701674635967,94,Wintercereal_Wheat_or_Mustard
0.2263849,0.31569907,-10.746064728538762,-17.84645734720272,91,Wintercereal_Wheat_or_Mustard
0.2578397,0.33621222,-10.123578760612943,-18.62169862451353,96,Wintercereal_Wheat_or_Mustard
0.54756635,0.51039135,-10.495939512198795,-18.956110596897137,89,Wintercereal_Wheat_or_Mustard
0.7597471,0.6902834,-11.400349686115224,-18.619089146927827,68,Wintercereal_Wheat_or_Mustard
0.8152817,0.7405032,-11.86821060868606,-18.03420616672548,44,Wintercereal_Wheat_or_Mustard
0.7945276,0.69934,-10.833817678125314,-19.35595960370253,52,Wintercereal_Wheat_or_Mustard
0.8246325,0.7183771,-11.327692450693185,-18.001275961976205,55,Wintercereal_Wheat_or_Mustard
0.82225543,0.73830444,-11.147838022735568,-18.41957725071296,50,Wintercereal_Wheat_or_Mustard
0.8132986,0.7363296,-13.330031336826112,-18.383329462106303,48,Wintercereal_Wheat_or_Mustard
0.82706004,0.7369439,-14.539175733689412,-19.15934389935454,49,Wintercereal_Wheat_or_Mustard
0.24413793,0.30535457,-10.879034062580882,-18.899895837575144,94,Non_wintercereal
0.27306274,0.3043478,-8.704140514028284,-16.442280414161576,38,Wintercereal_Wheat_or_Mustard
0.25015217,0.28455284,-10.08790907155485,-17.222275257172054,77,Wintercereal_Wheat_or_Mustard
0.24659231,0.28726807,-10.4871894332933,-16.23944430054915,93,Wintercereal_Wheat_or_Mustard
0.23210272,0.2831829,-10.416955692160396,-16.953957940452643,97,Wintercereal_Wheat_or_Mustard
0.23210272,0.2831829,-10.348533520178908,-16.92979483026135,97,Wintercereal_Wheat_or_Mustard
0.22572179,0.2981237,-10.365349166864403,-17.64097895215732,93,Wintercereal_Wheat_or_Mustard
0.2740047,0.33007336,-10.555164477278003,-19.21453318652133,92,Wintercereal_Wheat_or_Mustard
0.28361714,0.34523076,-10.13024048646934,-19.21453318652133,92,Wintercereal_Wheat_or_Mustard
0.28361714,0.34523076,-9.877349046654723,-18.312321635572506,94,Wintercereal_Wheat_or_Mustard
